CustomerID,Lookalikes
C0001,"[('C0152', 0.9998588497467529), ('C0137', 0.9997164706670983), ('C0056', 0.9988828808291097)]"
C0002,"[('C0142', 0.9940440084955674), ('C0031', 0.9938867462519434), ('C0010', 0.9923087003112339)]"
C0003,"[('C0176', 0.9945489802545794), ('C0167', 0.9939818162993164), ('C0186', 0.9904018910693417)]"
C0004,"[('C0075', 0.9994252789500889), ('C0156', 0.995707164893655), ('C0145', 0.9942230437188647)]"
C0005,"[('C0015', 0.9956605068751119), ('C0095', 0.9861242808186333), ('C0052', 0.9855350544140443)]"
C0006,"[('C0168', 0.9493485398813678), ('C0158', 0.9255403303700733), ('C0187', 0.7593983746154672)]"
C0007,"[('C0042', 0.9926361402083816), ('C0176', 0.9738169216668683), ('C0063', 0.9690055607660467)]"
C0008,"[('C0084', 0.9936771694723545), ('C0139', 0.9821942884222755), ('C0090', 0.9711432785758178)]"
C0009,"[('C0077', 0.9849718572714801), ('C0027', 0.9845507092217799), ('C0025', 0.9729945817103675)]"
C0010,"[('C0031', 0.9975580281756973), ('C0002', 0.9923087003112339), ('C0032', 0.9915086170146763)]"
C0011,"[('C0048', 0.9984213654213475), ('C0183', 0.9961327293252401), ('C0064', 0.9923852538344733)]"
C0012,"[('C0102', 0.9994224065961713), ('C0173', 0.9934813537037592), ('C0108', 0.9921656573592601)]"
C0013,"[('C0059', 0.9994820266636982), ('C0105', 0.9989518425298061), ('C0141', 0.9984361948885471)]"
C0014,"[('C0058', 0.9999437075231606), ('C0151', 0.9999185157759738), ('C0097', 0.9997059048547279)]"
C0015,"[('C0005', 0.9956605068751119), ('C0027', 0.9913430070503441), ('C0052', 0.9796248731220915)]"
C0016,"[('C0037', 0.9783982338160927), ('C0149', 0.9558949742345869), ('C0153', 0.9520365204723787)]"
C0017,"[('C0195', 0.9946500175863173), ('C0113', 0.9940549292257472), ('C0162', 0.9917704516234724)]"
C0018,"[('C0182', 0.9507716679100242), ('C0023', 0.9397516279630879), ('C0149', 0.9394960174504924)]"
C0019,"[('C0172', 0.986494522670668), ('C0116', 0.9725071037960256), ('C0119', 0.9009741547176799)]"
C0020,"[('C0110', 0.9999956376747322), ('C0078', 0.999940759432801), ('C0080', 0.999919588221319)]"
